TaxonId,NBSCode,AccCode,Class,Family,Authority,Genus,TaxonName,DARESTaxonName,DARESAuthority,Aggregate,Status,TDIo,TDI3,TDI4,LTDI1,LTDI2,LTDI3,DAM,Motile,OrganicTolerant,Planktic,Saline,Notes
AC004A,,AC004A,Bacillariophyceae,Achnanthaceae,J.R. Carter,Achnanthes,Achnanthes pseudoswazi,Achnanthes pseudoswazi,J.R. Carter,,B,NA,NA,NA,1,3,1,NA,FALSE,FALSE,FALSE,FALSE,
AC008A,NBNSYS0100041538,AC008A,Bacillariophyceae,Achnanthaceae,Grun. in Cleve & Grun.,Achnanthes,Achnanthes exigua,Achnanthes exigua,Grun. in Cleve & Grun.,,A,3,3,3,4,4,4,3,FALSE,FALSE,FALSE,FALSE,
AC017A,NHMSYS0000523407,AC017A,Bacillariophyceae,Achnanthaceae,J.B. Petersen,Achnanthes,Achnanthes kryophila,Achnanthes kryophila,J.B. Petersen,,B,NA,NA,NA,3,4,3,3,FALSE,FALSE,FALSE,FALSE,
AC026A,,AC026A,Bacillariophyceae,Achnanthaceae,Hust. in A. Schmidt,Achnanthes,Achnanthes frigida,Achnanthes frigida,Hust. in A. Schmidt,,B,NA,NA,NA,3,3,3,NA,FALSE,FALSE,FALSE,FALSE,
AC033A,NBNSYS0100041526,AC033A,Bacillariophyceae,Achnanthaceae,(Breb. in W. Sm.) Grun. in Cleve & Grun.,Achnanthes,Achnanthes coarctata,Achnanthes coarctata,(Breb. in W. Sm.) Grun. in Cleve & Grun.,,B,NA,NA,NA,3,3,3,NA,FALSE,FALSE,FALSE,FALSE,
AC034A,NBNSYS0100041593,AC034A,Bacillariophyceae,Achnanthaceae,Hust.,Achnanthes,Achnanthes suchlandtii,Achnanthes suchlandtii,Hust.,,B,NA,NA,NA,4,3,4,NA,FALSE,FALSE,FALSE,FALSE,
AC046A,,AC046A,Bacillariophyceae,Achnanthaceae,(Poretzky) A. Cleve-Euler,Achnanthes,Achnanthes altaica,Achnanthes altaica,(Poretzky) A. Cleve-Euler,,B,NA,NA,NA,1,2,1,NA,FALSE,FALSE,FALSE,FALSE,
AC060A,NBNSYS0100041531,AC060A,Bacillariophyceae,Achnanthaceae,J.R. Carter,Achnanthes,Achnanthes curtissima,Achnanthes curtissima,J.R. Carter,,B,NA,NA,NA,3,3,3,NA,FALSE,FALSE,FALSE,FALSE,
AC076B,,AC076B,Bacillariophyceae,Achnanthidiaceae,Schaarschmidt em.A.Cleve,Planothidium,Achnanthes haynaldii var. elliptico-lanceolata,Achnanthes haynaldii var. elliptico-lanceolata,,,B,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,
AC082A,NBNSYS0100041554,AC082A,Bacillariophyceae,Achnanthaceae,Krasske,Achnanthes,Achnanthes kriegeri,Achnanthes kriegeri,Krasske,,B,NA,NA,NA,3,3,3,NA,FALSE,FALSE,FALSE,FALSE,
AC038A,,AC083A,Bacillariophyceae,Achnanthaceae,(Hust.) Hust.,Achnanthes,Achnanthes lapponica,Achnanthes laevis,Ostr.,,S,3,1,1,NA,3,2,2,FALSE,FALSE,FALSE,FALSE,
AC091A,,AC091A,Bacillariophyceae,Achnanthaceae,Hust. 1933,Achnanthes,Achnanthes lutheri,Achnanthes lutheri,,,B,NA,NA,NA,NA,4,3,NA,FALSE,FALSE,FALSE,FALSE,
AC095A,NBNSYS0100041567,AC095A,Bacillariophyceae,Achnanthaceae,Hust.,Achnanthes,Achnanthes minuscula,Achnanthes minuscula,Hust.,,B,3,2,2,5,4,5,NA,FALSE,FALSE,FALSE,FALSE,
AC119A,NBNSYS0100041584,AC119A,Bacillariophyceae,Achnanthaceae,J.R. Carter in J.R. Carter & Watts,Achnanthes,Achnanthes saccula,Achnanthes saccula,J.R. Carter in J.R. Carter & Watts,,B,NA,NA,NA,3,3,3,NA,FALSE,FALSE,FALSE,FALSE,
AC120A,NBNSYS0100041586,AC120A,Bacillariophyceae,Achnanthaceae,Hust.,Achnanthes,Achnanthes semiaperta,Achnanthes semiaperta,Hust.,,B,3,1,1,NA,3,2,NA,FALSE,FALSE,FALSE,FALSE,
