SampleID,SiteID,Date,Type,Sample sum,Sum LTDI2,LTDI2,eLTDI2,EQR LTDI2,Class LTDI2,% Planktic,% Motile,% Organic tolerant,% Saline,Comment LTD12
1.53624e+006,200313,40297,LA,340.00,340.00,31.32,22.00,0.88,Good,0.00,2.65,0.88,0.88,
1.55442e+006,301827,40317,HA,339.00,335.00,48.73,42.00,0.88,Good,1.18,3.54,0.29,1.47,
1.55559e+006,202906,40316,LA,339.00,338.00,24.63,22.00,0.97,High,0.00,1.77,0.59,0.00,
1.55562e+006,233796,40291,LA,342.00,342.00,29.97,22.00,0.90,Good,0.00,0.58,0.29,0.58,
1.55562e+006,302233,40318,LA,317.00,317.00,27.76,22.00,0.93,High,0.00,0.32,0.32,0.00,
1.55971e+006,303610,40316,LA,308.00,308.00,11.12,22.00,1.00,High,0.00,17.53,0.32,0.00,
1.55972e+006,202063,40294,LA,321.00,321.00,17.52,22.00,1.00,High,0.00,29.60,1.25,1.25,
1.56026e+006,204046,40309,HA,317.00,301.00,53.82,42.00,0.80,Good,5.05,19.24,5.05,0.00,
1.56027e+006,459082,40310,HA,335.00,335.00,40.52,42.00,1.00,High,0.00,8.06,5.07,0.00,
1.56411e+006,113117,40294,LA,413.00,406.00,4.25,22.00,1.00,High,0.73,11.86,0.00,0.00,
1.56411e+006,300453,40291,LA,343.00,338.00,19.60,22.00,1.00,High,0.29,14.87,4.66,0.58,
1.56464e+006,4978,40297,HA,318.00,313.00,41.53,42.00,1.00,High,1.57,7.23,2.20,0.00,
1.57188e+006,203476,40317,HA,329.00,328.00,41.16,42.00,1.00,High,0.30,1.82,0.30,0.00,
1.5719e+006,233781,40316,HA,413.00,398.00,62.50,42.00,0.65,Moderate,2.42,17.19,7.75,4.60,
1.57616e+006,301817,40316,LA,320.00,320.00,29.30,22.00,0.91,Good,0.00,0.94,0.63,0.00,
1.57616e+006,301820,40316,LA,323.00,323.00,16.18,22.00,1.00,High,0.00,3.72,1.55,0.62,
1.57637e+006,132300,40312,LA,329.00,316.00,51.03,22.00,0.63,Moderate,3.95,17.33,4.56,1.22,
1.57638e+006,327565,40303,LA,340.00,337.00,39.61,22.00,0.77,Good,0.88,2.65,1.47,0.59,
1.58222e+006,103734,40326,MA,313.00,303.00,26.73,35.00,1.00,High,3.19,3.19,0.64,0.64,
1.662e+006,9831,40430,MA,327.00,320.00,34.92,35.00,1.00,High,2.14,2.75,1.22,0.61,
1.66659e+006,303610,40491,LA,289.00,287.00,19.43,22.00,1.00,High,0.00,32.87,2.77,0.00,
1.6666e+006,202063,40451,LA,327.00,327.00,15.83,22.00,1.00,High,0.00,18.04,0.00,0.00,
1.66671e+006,203476,40471,HA,321.00,321.00,48.44,42.00,0.89,Good,0.00,3.43,3.43,0.00,
1.66673e+006,233781,40470,HA,344.00,339.00,59.07,42.00,0.71,Good,1.16,22.09,7.56,2.03,
1.66697e+006,200313,40448,LA,326.00,326.00,30.67,22.00,0.89,Good,0.00,2.15,1.23,0.00,
1.66699e+006,204046,40451,HA,343.00,343.00,32.51,42.00,1.00,High,0.00,5.54,4.08,0.00,
1.667e+006,459082,40451,HA,376.00,375.00,43.80,42.00,0.97,High,0.27,6.65,4.52,0.53,
1.66803e+006,103733,40436,LA,306.00,123.00,23.17,22.00,0.98,High,59.80,3.27,3.92,0.33,
1.66804e+006,103734,40436,MA,309.00,245.00,28.06,35.00,1.00,High,20.71,2.59,2.27,0.00,
1.66814e+006,202906,40451,LA,354.00,337.00,27.97,22.00,0.92,High,4.80,2.26,1.41,0.00,
1.66817e+006,233796,40436,LA,355.00,352.00,23.08,22.00,0.99,High,0.85,3.94,0.28,0.28,
1.66817e+006,302233,40436,LA,320.00,317.00,32.57,22.00,0.86,Good,0.00,3.44,1.25,0.00,
1.6694e+006,132300,40508,LA,316.00,314.00,29.38,22.00,0.91,Good,0.63,2.85,4.75,1.90,
1.66941e+006,327565,40508,LA,327.00,320.00,27.50,22.00,0.93,High,1.53,0.31,0.61,0.31,
1.66982e+006,301817,40430,LA,342.00,342.00,27.05,22.00,0.94,High,0.00,0.58,0.00,0.00,
1.66982e+006,301820,40430,LA,345.00,338.00,33.14,22.00,0.86,Good,0.87,4.35,3.19,2.32,
1.67004e+006,301827,40435,HA,314.00,311.00,40.51,42.00,1.00,High,0.96,9.24,0.00,2.87,
1.67296e+006,4978,40438,HA,332.00,328.00,51.52,42.00,0.84,Good,0.00,2.71,0.30,0.00,
1.67343e+006,301825,40458,MA,337.00,335.00,30.30,35.00,1.00,High,0.59,2.67,1.78,5.93,
1.68745e+006,113117,40462,LA,367.00,351.00,2.85,22.00,1.00,High,2.72,3.54,0.00,0.27,
1.68745e+006,300453,40462,LA,398.00,393.00,12.72,22.00,1.00,High,0.00,7.04,0.75,0.25,
1.79559e+006,113117,40688,LA,329.00,326.00,6.13,22.00,1.00,High,0.91,4.26,0.00,0.00,
1.80097e+006,103733,40667,LA,360.00,342.00,27.27,22.00,0.93,High,5.00,2.50,0.83,0.00,
1.80097e+006,103734,40667,MA,404.00,385.00,29.61,35.00,1.00,High,4.70,0.74,0.00,0.00,
1.80097e+006,103784,40694,MA,320.00,320.00,36.88,35.00,0.97,High,0.00,2.81,1.88,4.69,
1.80158e+006,202906,40668,LA,329.00,329.00,23.02,22.00,0.99,High,0.00,5.47,1.22,1.52,
1.80159e+006,233796,40661,LA,332.00,332.00,31.85,22.00,0.87,Good,0.00,3.01,0.90,0.90,
1.80159e+006,302233,40693,LA,326.00,326.00,26.53,22.00,0.94,High,0.00,1.84,0.92,0.31,
1.80241e+006,203476,40676,HA,338.00,326.00,46.55,42.00,0.92,High,3.55,3.85,2.07,0.00,
1.80241e+006,233781,40676,HA,320.00,319.00,57.76,42.00,0.73,Good,0.00,30.00,20.63,12.81,
1.80249e+006,303610,40694,LA,359.00,359.00,8.98,22.00,1.00,High,0.00,19.22,1.95,1.39,
1.80286e+006,132300,40659,LA,362.00,347.00,45.24,22.00,0.70,Good,3.31,29.01,22.65,10.77,
1.80287e+006,327565,40666,LA,307.00,307.00,28.50,22.00,0.92,Good,0.00,3.26,1.95,1.95,
1.80391e+006,301817,40652,LA,389.00,389.00,28.21,22.00,0.92,High,0.00,0.00,0.00,0.00,
1.80392e+006,301820,40652,LA,483.00,483.00,28.78,22.00,0.91,Good,0.00,0.41,0.00,0.00,
1.80627e+006,200313,40668,LA,338.00,325.00,25.62,22.00,0.95,High,3.85,0.89,0.00,0.00,
1.81485e+006,204046,40679,HA,320.00,320.00,44.14,42.00,0.96,High,0.00,7.81,4.06,1.88,
1.81486e+006,459082,40680,HA,310.00,310.00,57.10,42.00,0.74,Good,0.00,12.26,2.90,0.65,
1.81749e+006,301827,40682,HA,374.00,374.00,34.36,42.00,1.00,High,0.00,2.67,1.87,1.60,
1.81754e+006,301825,40675,MA,329.00,329.00,29.79,35.00,1.00,High,0.00,0.00,0.00,0.00,
1.88969e+006,303610,40862,LA,322.00,322.00,14.52,22.00,1.00,High,0.00,22.36,4.35,0.00,
1.8897e+006,202063,40849,LA,343.00,343.00,15.96,22.00,1.00,High,0.00,8.75,0.58,0.00,
1.88983e+006,203476,40868,HA,422.00,362.00,31.70,42.00,1.00,High,14.22,2.84,1.18,0.00,
1.88984e+006,233781,40863,HA,323.00,323.00,67.34,42.00,0.56,Moderate,0.00,11.76,5.26,3.10,
1.88995e+006,202906,40864,LA,333.00,333.00,23.50,22.00,0.98,High,0.00,3.30,0.00,0.00,
1.88998e+006,233796,40800,LA,324.00,323.00,28.33,22.00,0.92,Good,0.00,4.32,2.47,0.93,
1.88998e+006,302233,40800,LA,342.00,342.00,31.80,22.00,0.87,Good,0.00,0.29,0.29,0.58,
1.89004e+006,200313,40806,LA,328.00,328.00,31.48,22.00,0.88,Good,0.00,1.52,0.30,0.30,
1.89004e+006,204046,40821,HA,303.00,303.00,50.66,42.00,0.85,Good,0.00,20.46,15.84,3.63,
1.89005e+006,459082,40821,HA,330.00,330.00,40.61,42.00,1.00,High,0.00,9.39,4.85,2.12,
1.89112e+006,301817,40792,LA,359.00,359.00,27.30,22.00,0.93,High,0.00,0.28,0.00,0.00,
1.89112e+006,301820,40792,LA,345.00,345.00,18.26,22.00,1.00,High,0.00,2.61,2.03,0.00,
1.89343e+006,103733,40872,LA,359.00,335.00,18.58,22.00,1.00,High,6.69,2.23,1.67,0.00,
1.89343e+006,103734,40872,MA,266.00,262.00,27.77,35.00,1.00,High,1.50,3.38,2.26,1.88,
1.89343e+006,103784,40800,MA,385.00,381.00,49.67,35.00,0.77,Good,1.04,3.90,2.34,0.26,
1.89616e+006,113117,40814,LA,326.00,304.00,3.21,22.00,1.00,High,6.75,3.07,0.00,0.00,
1.89616e+006,300453,40814,LA,351.00,351.00,5.98,22.00,1.00,High,0.00,1.42,0.28,0.00,
1.89753e+006,132300,40875,LA,282.00,275.00,28.45,22.00,0.92,Good,2.48,4.96,4.26,0.71,
1.89753e+006,327565,40862,LA,335.00,335.00,25.45,22.00,0.96,High,0.00,0.90,0.00,0.60,
1.8997e+006,103733,40667,LA,343.00,341.00,27.64,22.00,0.93,High,0.58,1.75,0.58,0.00,
1.90039e+006,301827,40847,HA,433.00,432.00,60.82,42.00,0.68,Moderate,0.23,1.85,0.00,0.46,
1.90046e+006,301825,40808,MA,376.00,376.00,17.02,35.00,1.00,High,0.00,2.39,0.53,0.27,
2.02803e+006,132300,41023,LA,305.00,303.00,33.91,22.00,0.85,Good,0.66,5.25,2.30,1.64,
2.02804e+006,327565,41023,LA,311.00,309.00,26.46,22.00,0.94,High,0.32,0.96,0.64,0.00,
2.02947e+006,103733,41024,LA,275.00,246.00,27.24,22.00,0.93,High,10.55,2.91,3.64,0.00,
2.02947e+006,103734,41024,MA,334.00,331.00,32.02,35.00,1.00,High,0.90,1.80,1.20,0.90,
2.02948e+006,103784,41068,MA,342.00,332.00,35.39,35.00,0.99,High,2.92,4.68,3.51,0.00,
2.0477e+006,301827,41047,HA,361.00,361.00,37.33,42.00,1.00,High,0.00,1.11,0.55,2.77,
2.04772e+006,10014,41031,HA,368.00,368.00,46.20,42.00,0.93,High,0.00,0.00,0.27,0.00,
2.04776e+006,202906,41030,LA,329.00,329.00,15.73,22.00,1.00,High,0.00,3.34,0.91,0.00,
2.04776e+006,200313,41039,LA,333.00,331.00,20.09,22.00,1.00,High,0.60,1.50,0.60,0.30,
2.04776e+006,233796,41043,LA,330.00,330.00,27.65,22.00,0.93,High,0.00,0.61,0.30,0.30,
2.04776e+006,302233,41043,LA,346.00,335.00,25.90,22.00,0.95,High,3.18,1.73,0.58,0.29,
2.04778e+006,7111,41073,LA,326.00,323.00,24.54,22.00,0.97,High,0.00,3.99,0.61,0.31,
2.0478e+006,202063,41032,LA,344.00,344.00,26.96,22.00,0.94,High,0.00,1.16,0.87,0.00,
2.04781e+006,303610,41038,LA,350.00,350.00,15.36,22.00,1.00,High,0.00,19.43,4.29,0.00,
2.04782e+006,9831,41052,MA,381.00,353.00,33.29,35.00,1.00,High,7.35,1.57,1.31,0.26,
2.04786e+006,4978,41057,HA,343.00,331.00,45.54,42.00,0.94,High,3.50,3.79,2.62,0.00,
2.04786e+006,4979,41057,HA,377.00,336.00,40.03,42.00,1.00,High,10.88,9.28,4.77,1.86,
2.04788e+006,204046,41047,HA,382.00,362.00,54.77,42.00,0.78,Good,5.24,14.66,7.07,7.33,
2.04788e+006,459082,41047,HA,328.00,325.00,34.85,42.00,1.00,High,0.61,7.32,2.13,0.00,
2.0479e+006,203476,41050,HA,489.00,461.00,43.33,42.00,0.98,High,5.73,5.32,3.27,0.00,
2.0479e+006,233781,41052,HA,333.00,324.00,57.33,42.00,0.74,Good,0.60,16.82,9.91,9.61,
2.04797e+006,301817,41059,LA,324.00,324.00,27.55,22.00,0.93,High,0.00,0.00,0.00,0.00,
2.04797e+006,301820,41039,LA,357.00,357.00,26.40,22.00,0.94,High,0.00,2.80,0.56,0.00,
2.05215e+006,113117,41022,LA,326.00,315.00,2.38,22.00,1.00,High,3.07,5.21,0.31,0.00,
2.05456e+006,300453,41022,LA,369.00,364.00,5.01,22.00,1.00,High,0.00,9.49,1.08,2.17,
2.11472e+006,132260,41032,LA,402.00,374.00,31.62,22.00,0.88,Good,6.97,1.49,1.00,0.25,
2.11576e+006,203476,41155,HA,341.00,339.00,34.44,42.00,1.00,High,0.59,3.52,1.76,0.00,
2.1159e+006,233781,41212,HA,319.00,318.00,62.81,42.00,0.64,Moderate,0.31,15.05,9.40,3.76,
2.1173e+006,301817,41163,LA,347.00,347.00,25.50,22.00,0.96,High,0.00,0.00,0.00,0.00,
2.1173e+006,301820,41155,LA,300.00,300.00,19.50,22.00,1.00,High,0.00,0.67,0.00,0.00,
2.12219e+006,204046,41169,HA,343.00,334.00,50.90,42.00,0.85,Good,2.33,12.54,7.87,0.00,
2.12219e+006,459082,41169,HA,318.00,318.00,59.36,42.00,0.70,Good,0.00,18.87,15.09,4.09,
2.12231e+006,9831,41156,MA,340.00,334.00,29.42,35.00,1.00,High,1.76,3.53,1.76,0.29,
2.12349e+006,10014,41227,HA,333.00,330.00,40.15,42.00,1.00,High,0.90,2.70,0.00,0.00,
2.12364e+006,132260,41183,LA,373.00,373.00,20.51,22.00,1.00,High,0.00,0.00,0.00,0.00,
2.1246e+006,233796,41157,LA,342.00,342.00,27.05,22.00,0.94,High,0.00,1.46,0.00,0.00,
2.1246e+006,302233,41157,LA,361.00,329.00,25.68,22.00,0.95,High,8.86,0.00,0.00,0.00,
2.12474e+006,202906,41162,LA,352.00,325.00,32.31,22.00,0.87,Good,7.10,1.14,0.57,0.00,
2.12586e+006,303610,41171,LA,346.00,345.00,9.78,22.00,1.00,High,0.00,17.34,1.16,0.00,
2.12808e+006,4978,41192,HA,327.00,327.00,38.00,42.00,1.00,High,0.00,0.92,0.00,0.00,
2.12808e+006,4979,41155,HA,806.00,340.00,49.93,42.00,0.86,Good,57.82,6.82,0.50,0.00,
2.13575e+006,103733,41242,LA,369.00,365.00,29.25,22.00,0.91,Good,1.08,2.44,0.81,0.81,
2.13575e+006,103734,41242,MA,436.00,377.00,25.73,35.00,1.00,High,13.53,4.13,0.46,0.23,
2.13575e+006,103784,41199,MA,303.00,300.00,32.25,35.00,1.00,High,0.66,2.64,2.31,0.66,
2.15559e+006,132300,41207,LA,322.00,316.00,36.39,22.00,0.82,Good,1.86,10.56,5.28,0.93,
2.15559e+006,327565,41199,LA,309.00,309.00,22.41,22.00,0.99,High,0.00,2.59,0.65,0.32,
2.15657e+006,202063,41184,LA,348.00,338.00,18.86,22.00,1.00,High,2.87,4.31,0.29,0.00,
2.1566e+006,301827,41220,HA,339.00,335.00,60.82,42.00,0.68,Moderate,1.18,5.01,0.00,6.19,
2.1566e+006,301825,41235,LA,236.00,236.00,28.92,22.00,0.91,Good,0.00,0.00,0.00,0.00,
2.16231e+006,200313,41164,LA,339.00,326.00,25.38,22.00,0.96,High,3.83,0.00,0.00,0.00,
