SampleID,SiteID,Date,Alkalinity,Sample sum,Sum TDI4,TDI4,eTDI4,EQR TDI4,Class TDI4,% Planktic,% Motile,% Organic tolerant,% Saline,Comment TD14
1.53625e+006,206930,40284,10,323.00,323.00,18.92,22.33,0.84,High,0.00,0.62,1.55,0.00,
1.55042e+006,207189,40297,31,341.00,335.00,25.08,33.24,0.90,High,1.47,12.61,7.62,1.47,
1.55075e+006,206971,40284,6,327.00,327.00,27.81,18.66,0.71,Good,0.00,14.98,17.74,0.00,
1.55149e+006,207402,40295,43,304.00,304.00,54.38,37.30,0.58,Moderate,0.00,66.12,45.72,0.00,
1.55441e+006,205367,40318,167,306.00,306.00,47.57,60.12,1.00,High,0.00,53.27,50.33,0.65,
1.55454e+006,123172,40319,6,317.00,317.00,27.44,18.66,0.71,Good,0.00,0.63,0.63,0.00,
1.55455e+006,123153,40281,4,382.00,382.00,26.41,17.50,0.71,Good,0.00,0.00,0.26,0.26,"Alkalinity < 5, value set to 5 mg/l"
1.55471e+006,320337,40316,54,321.00,321.00,56.85,40.41,0.58,Moderate,0.00,24.92,42.37,0.31,
1.55472e+006,122534,40309,186,716.00,716.00,60.99,62.44,0.83,High,0.00,64.66,57.26,0.14,
1.5548e+006,123096,40319,71,387.00,382.00,49.46,44.50,0.73,Good,1.29,38.24,36.43,0.00,
1.55521e+006,205682,40289,59,380.00,380.00,51.04,41.69,0.67,Good,0.00,72.89,30.26,0.00,
1.55524e+006,232926,40310,37,347.00,347.00,69.14,35.38,0.38,Poor,0.00,9.22,89.34,0.00,
1.55548e+006,9540,40291,44,310.00,310.00,48.82,37.60,0.66,Good,0.00,14.19,14.84,0.32,
1.55559e+006,206845,40301,6,351.00,351.00,19.70,18.66,0.79,Good,0.00,4.27,0.00,0.00,
1.5556e+006,207298,40316,4,321.00,321.00,6.34,17.50,0.91,High,0.00,4.36,0.93,0.62,"Alkalinity < 5, value set to 5 mg/l"
1.55608e+006,122721,40284,6,110.00,110.00,17.02,18.66,0.82,High,0.00,4.55,6.36,0.00,
1.55619e+006,122469,40315,64,332.00,332.00,61.56,42.90,0.54,Moderate,0.00,16.57,65.06,0.00,
1.5562e+006,122475,40315,58,284.00,280.00,65.70,41.44,0.47,Moderate,1.41,56.34,47.54,0.00,
1.55621e+006,122496,40312,60,321.00,321.00,64.69,41.94,0.49,Moderate,0.00,65.11,69.47,0.31,
1.55704e+006,122818,40302,4,496.00,493.00,17.43,17.50,0.80,High,0.00,2.62,1.21,0.20,"Alkalinity < 5, value set to 5 mg/l"
1.55713e+006,123202,40284,10,405.00,405.00,32.84,22.33,0.69,Good,0.00,0.99,40.74,1.23,
1.55958e+006,123055,40284,125,338.00,338.00,32.55,54.29,1.00,High,0.00,7.99,8.28,0.00,
1.55971e+006,449078,40316,7,338.00,338.00,18.59,19.70,0.81,High,0.00,4.14,0.59,0.00,
1.55974e+006,327611,40309,10,311.00,311.00,17.12,22.33,0.85,High,0.00,5.14,0.32,0.00,
1.56008e+006,4276,40288,71,320.00,320.00,62.46,44.50,0.54,Moderate,0.00,71.88,51.56,0.00,
1.56113e+006,3806,40302,108,310.00,310.00,59.34,51.57,0.67,Good,0.00,69.35,38.06,0.00,
1.56127e+006,118688,40288,117,306.00,306.00,61.71,53.04,0.65,Good,0.00,55.56,36.27,2.61,
1.56129e+006,122748,40288,79,433.00,432.00,69.64,46.20,0.45,Moderate,0.23,79.91,72.29,0.23,
1.5613e+006,122757,40288,88,317.00,315.00,68.94,47.99,0.48,Moderate,0.63,79.18,81.70,0.00,
1.56244e+006,134604,40289,81,299.00,292.00,53.46,46.61,0.70,Good,1.67,34.11,57.86,0.00,
1.56247e+006,134604,40462,88,377.00,377.00,55.72,47.99,0.68,Good,0.00,28.12,29.44,0.00,
1.56318e+006,122924,40289,53,424.00,424.00,52.72,40.15,0.63,Good,0.00,42.45,33.73,0.47,
1.56463e+006,3415,40296,116,339.00,314.00,29.19,52.88,1.00,High,7.37,13.86,9.14,0.00,
1.56871e+006,200211,40301,8,305.00,305.00,18.80,20.64,0.82,High,0.00,8.20,5.57,0.00,
1.56872e+006,206778,40301,6,322.00,309.00,16.46,18.66,0.82,High,0.00,7.14,4.04,0.00,
1.57244e+006,8455,40294,39,317.00,316.00,33.36,36.04,0.83,High,0.32,16.09,11.67,0.00,
1.57244e+006,8801,40289,19,316.00,314.00,26.54,27.98,0.82,High,0.63,1.27,0.95,0.95,
1.57245e+006,8811,40290,34,303.00,302.00,35.17,34.34,0.79,Good,0.33,24.75,15.18,3.96,
1.5725e+006,345954,40295,21,320.00,320.00,27.02,28.99,0.82,High,0.00,0.63,0.00,0.00,
1.57316e+006,4471,40316,164,321.00,321.00,63.33,59.73,0.73,Good,0.00,22.43,66.67,0.62,
1.57523e+006,127100,40315,65,320.00,320.00,32.71,43.13,0.95,High,0.00,6.56,4.38,0.31,
