Type,SampleID,SiteID,Date,Taxon Code,Taxon name,Abundance,Alkalinity
R,1536245,206930,16/04/2010,GO013A,Gomphonema parvulum,5,10
R,1536245,206930,16/04/2010,GO004A,Gomphonema gracile,1,10
R,1536245,206930,16/04/2010,HN001A,Hannaea arcus,66,10
R,1536245,206930,16/04/2010,ZZZ949,Psammothidium subatomoides,51,10
R,1536245,206930,16/04/2010,DT022A,Diatoma moniliformis,14,10
R,1536245,206930,16/04/2010,EY016A,Encyonema silesiacum,2,10
R,1536245,206930,16/04/2010,TA001A,Tabellaria flocculosa,1,10
R,1536245,206930,16/04/2010,ZZZ835,Achnanthidium minutissimum type,24,10
R,1536245,206930,16/04/2010,NA768A,Navicula reichardtiana,1,10
R,1536245,206930,16/04/2010,AC083A,Achnanthes laevis,4,10
R,1536245,206930,16/04/2010,FR007A,Fragilaria vaucheriae,20,10
R,1536245,206930,16/04/2010,MR001A,Meridion circulare,2,10
R,1536245,206930,16/04/2010,FR002A,Fragilaria construens,2,10
R,1536245,206930,16/04/2010,GO052A,Gomphonema olivaceoides,90,10
R,1536245,206930,16/04/2010,SY013A,Synedra tenera,1,10
R,1536245,206930,16/04/2010,PI007A,Pinnularia viridis,1,10
R,1536245,206930,16/04/2010,MR001B,Meridion circulare var. constrictum,12,10
R,1536245,206930,16/04/2010,FR009A,Fragilaria capucina,10,10
R,1536245,206930,16/04/2010,RE001A,Reimeria sinuata,15,10
R,1536245,206930,16/04/2010,GO080A,Gomphonema pumilum,1,10
R,1550421,207189,29/04/2010,SU073A,Surirella brebissonii,1,31
R,1550421,207189,29/04/2010,MR001A,Meridion circulare,21,31
R,1550421,207189,29/04/2010,FR007C,Fragilaria vaucheriae var. capitellata,4,31
R,1550421,207189,29/04/2010,GO052A,Gomphonema olivaceoides,5,31
R,1550421,207189,29/04/2010,UN9995,Centric undif.,5,31
R,1550421,207189,29/04/2010,SY001A,Synedra ulna,5,31
R,1550421,207189,29/04/2010,GO050A,Gomphonema minutum,1,31
R,1550421,207189,29/04/2010,ZZZ959,Achnanthidium minutissimum,69,31
R,1550421,207189,29/04/2010,EY016A,Encyonema silesiacum,3,31
R,1550421,207189,29/04/2010,NA023A,Navicula gregaria,3,31
R,1550421,207189,29/04/2010,NI048A,Nitzschia tubicola,3,31
R,1550421,207189,29/04/2010,EY011A,Encyonema minutum,1,31
R,1550421,207189,29/04/2010,NI166A,Nitzschia sociabilis,5,31
R,1550421,207189,29/04/2010,UN9994,Pennate undif.,1,31
R,1550421,207189,29/04/2010,FF9999,Fragilariforma sp.,1,31
R,1550421,207189,29/04/2010,FR026A,Fragilaria bidens,10,31
R,1550421,207189,29/04/2010,GO003A,Gomphonema angustatum,5,31
R,1550421,207189,29/04/2010,NA009A,Navicula lanceolata,13,31
R,1550421,207189,29/04/2010,FR009G,Fragilaria capucina var. rumpens,118,31
R,1550421,207189,29/04/2010,GO013C,Gomphonema parvulum var. exilissimum,12,31
R,1550421,207189,29/04/2010,HN001A,Hannaea arcus,2,31
R,1550421,207189,29/04/2010,ZZZ896,Planothidium frequentissimum,2,31
R,1550421,207189,29/04/2010,NA042A,Navicula minima,1,31
R,1550421,207189,29/04/2010,NI015A,Nitzschia dissipata,16,31
R,1550421,207189,29/04/2010,DT004A,Diatoma tenue,3,31
R,1550421,207189,29/04/2010,ZZZ941,Diatoma problematica,5,31
R,1550421,207189,29/04/2010,DT021A,Diatoma mesodon,4,31
R,1550421,207189,29/04/2010,NI002A,Nitzschia fonticola,1,31
R,1550421,207189,29/04/2010,FR007A,Fragilaria vaucheriae,20,31
R,1550421,207189,29/04/2010,DT003A,Diatoma vulgare,1,31
